INC_Name,INC_ST_Unit,INC_Nbr,Acres,Cause,Start,End,LAT,LONG,Fuels1,State,Unit,Unit_Nbr,Agency,Agency_Nbr,Zone,DispCtr
TEA POT,AZ-A3S,1790,349,Unknown,8/18/20,8/28/20,33.2066667,-111.0125,Brush (2 feet),AZ,A3S,1790,AZS,5,SEZ,TDC
Rolls,AZ-TNF,2533,1350,Lightning/Natural,8/18/20,8/25/20,33.63397,-111.5013,Tall Grass (2.5 feet),AZ,TNF,2533,USFS,7,CWZ,PHC
Pocket,AZ-TNF,2543,185,Lightning/Natural,8/19/20,8/25/20,34.1758333,-111.1458333,Tall Grass (2.5 feet),AZ,TNF,2543,USFS,7,CWZ,PHC
Superstition,AZ-TNF,2551,9539,Lightning/Natural,8/20/20,9/10/20,33.405,-111.3852778,Short Grass (1 foot),AZ,TNF,2551,USFS,7,CWZ,PHC
CONSTELLATION,AZ-A5S,1807,12252,Lightning/Natural,8/20/20,8/26/20,34.0466667,-112.5430556,Short Grass (1 foot),AZ,A5S,1807,AZS,5,CWZ,ADC
MCDOWELL,AZ-A4S,1828,615,Lightning/Natural,8/20/20,8/24/20,33.6397222,-111.7755556,Brush (2 feet),AZ,A4S,1828,AZS,5,CWZ,ADC
Rockhouse,AZ-SCA,2574,19506,Lightning/Natural,8/21/20,9/16/20,33.09259,-110.5752,Short Grass (1 foot),AZ,SCA,2574,BIA,1,CWZ,PHC
Verde,AZ-TNF,2575,360,Unknown,8/21/20,8/31/20,34.05834,-111.7226,Short Grass (1 foot),AZ,TNF,2575,USFS,7,CWZ,PHC
BUCK,AZ-TCA,803,997,Lightning/Natural,8/21/20,9/2/20,35.5147222,-113.5158333,Short Grass (1 foot),AZ,TCA,803,BIA,1,NAZ,WDC
Medicine,AZ-FTA,867,8930,Lightning/Natural,8/22/20,9/9/20,33.8291667,-110.6897222,Short Grass (1 foot),AZ,FTA,867,BIA,1,WMZ,SDC
Champion,AZ-SCA,2593,495,Lightning/Natural,8/23/20,8/25/20,33.4805556,-110.6363889,Short Grass (1 foot),AZ,SCA,2593,BIA,1,CWZ,PHC
PILOT KNOB,AZ-A5S,1859,11000,Lightning/Natural,8/24/20,9/1/20,34.7969444,-113.2233333,Short Grass (1 foot),AZ,A5S,1859,AZS,5,CWZ,ADC
BASIN,AZ-GID,822,2710,Lightning/Natural,8/24/20,8/30/20,32.86339,-110.5336,Short Grass (1 foot),AZ,GID,822,BLM,2,SEZ,TDC
Meddler,AZ-TNF,2600,4452,Unknown,8/24/20,8/30/20,33.66167,-110.8976,Tall Grass (2.5 feet),AZ,TNF,2600,USFS,7,CWZ,PHC
BOZARTH,AZ-A5S,1861,5000,Lightning/Natural,8/24/20,8/31/20,34.7402778,-113.2136111,Short Grass (1 foot),AZ,A5S,1861,AZS,5,CWZ,ADC
Hidden,AZ-TNF,2616,6106,Lightning/Natural,8/25/20,9/16/20,33.98054,-111.1835,Short Grass (1 foot),AZ,TNF,2616,USFS,7,CWZ,PHC
DOVE,AZ-A3S,1909,942,Lightning/Natural,8/27/20,9/2/20,32.5,-111.05,Short Grass (1 foot),AZ,A3S,1909,AZS,5,SEZ,TDC
Alder,AZ-SCA,2639,633,Unknown,8/27/20,9/16/20,33.5975,-110.4492,Short Grass (1 foot),AZ,SCA,2639,BIA,1,CWZ,PHC
